"Species","bill_length_mm","Log_bill_length"
"Gentoo",59.6,4.0876555740713
"Chinstrap",58,4.06044301054642
"Gentoo",55.9,4.02356438016105
"Chinstrap",55.8,4.02177386938726
"Gentoo",55.1,4.00914971615887
"Gentoo",54.3,3.99452422693989
"Chinstrap",54.2,3.9926809084456
"Chinstrap",53.5,3.97968165390196
"Gentoo",53.4,3.97781074596615
"Chinstrap",52.8,3.96651119071222
"Chinstrap",52.7,3.96461545554732
"Gentoo",52.5,3.96081316959758
"Gentoo",52.2,3.95508249488859
"Chinstrap",52.2,3.95508249488859
"Gentoo",52.1,3.95316494875932
"Chinstrap",52,3.95124371858143
"Chinstrap",52,3.95124371858143
"Chinstrap",52,3.95124371858143
"Chinstrap",51.9,3.94931879017184
"Chinstrap",51.7,3.94545778151438
"Gentoo",51.5,3.94158180766969
"Chinstrap",51.5,3.94158180766969
"Chinstrap",51.4,3.93963817246112
"Gentoo",51.3,3.93769075217672
"Chinstrap",51.3,3.93769075217672
"Chinstrap",51.3,3.93769075217672
"Chinstrap",51.3,3.93769075217672
"Gentoo",51.1,3.93378449720966
"Gentoo",51.1,3.93378449720966
"Chinstrap",51,3.93182563272433
"Chinstrap",50.9,3.92986292355648
"Chinstrap",50.9,3.92986292355648
"Gentoo",50.8,3.92789635458444
"Gentoo",50.8,3.92789635458444
"Chinstrap",50.8,3.92789635458444
"Chinstrap",50.8,3.92789635458444
"Gentoo",50.7,3.92592591059714
"Chinstrap",50.7,3.92592591059714
"Chinstrap",50.6,3.92395157629342
"Gentoo",50.5,3.92197333628131
"Gentoo",50.5,3.92197333628131
"Gentoo",50.5,3.92197333628131
"Chinstrap",50.5,3.92197333628131
"Chinstrap",50.5,3.92197333628131
"Gentoo",50.4,3.91999117507732
"Gentoo",50.4,3.91999117507732
"Chinstrap",50.3,3.91800507710569
"Gentoo",50.2,3.91601502669768
"Chinstrap",50.2,3.91601502669768
"Chinstrap",50.2,3.91601502669768
"Gentoo",50.1,3.91402100809082
"Chinstrap",50.1,3.91402100809082
"Gentoo",50,3.91202300542815
"Gentoo",50,3.91202300542815
"Gentoo",50,3.91202300542815
"Gentoo",50,3.91202300542815
"Chinstrap",50,3.91202300542815
"Gentoo",49.9,3.91002100275747
"Gentoo",49.8,3.90801498403061
"Gentoo",49.8,3.90801498403061
"Chinstrap",49.8,3.90801498403061
"Chinstrap",49.7,3.90600493310258
"Gentoo",49.6,3.90399083373088
"Gentoo",49.6,3.90399083373088
"Chinstrap",49.6,3.90399083373088
"Gentoo",49.5,3.90197266957464
"Gentoo",49.5,3.90197266957464
"Chinstrap",49.5,3.90197266957464
"Gentoo",49.4,3.89995042419388
"Gentoo",49.3,3.89792408104864
"Chinstrap",49.3,3.89792408104864
"Gentoo",49.2,3.89589362349826
"Chinstrap",49.2,3.89589362349826
"Gentoo",49.1,3.89385903480047
"Gentoo",49.1,3.89385903480047
"Gentoo",49.1,3.89385903480047
"Gentoo",49,3.89182029811063
"Chinstrap",49,3.89182029811063
"Chinstrap",49,3.89182029811063
"Gentoo",48.8,3.8877303128591
"Gentoo",48.7,3.88567903008854
"Gentoo",48.7,3.88567903008854
"Gentoo",48.7,3.88567903008854
"Gentoo",48.6,3.88362353090645
"Gentoo",48.5,3.88156379794344
"Gentoo",48.5,3.88156379794344
"Chinstrap",48.5,3.88156379794344
"Gentoo",48.4,3.87949981372259
"Gentoo",48.4,3.87949981372259
"Gentoo",48.4,3.87949981372259
"Gentoo",48.2,3.87535902105655
"Gentoo",48.2,3.87535902105655
"Gentoo",48.1,3.87328217711172
"Chinstrap",48.1,3.87328217711172
"Gentoo",47.8,3.86702563949741
"Gentoo",47.7,3.8649313978943
"Gentoo",47.6,3.86283276123737
"Chinstrap",47.6,3.86283276123737
"Gentoo",47.5,3.8607297110406
"Gentoo",47.5,3.8607297110406
"Gentoo",47.5,3.8607297110406
"Chinstrap",47.5,3.8607297110406
"Gentoo",47.4,3.85862222870103
"Gentoo",47.3,3.85651029549789
"Gentoo",47.3,3.85651029549789
"Gentoo",47.2,3.85439389259151
"Gentoo",47.2,3.85439389259151
"Chinstrap",47,3.85014760171006
"Gentoo",46.9,3.84801767545223
"Chinstrap",46.9,3.84801767545223
"Gentoo",46.8,3.8458832029236
"Gentoo",46.8,3.8458832029236
"Gentoo",46.8,3.8458832029236
"Chinstrap",46.8,3.8458832029236
"Gentoo",46.7,3.84374416467485
"Chinstrap",46.7,3.84374416467485
"Gentoo",46.6,3.8416005411316
"Chinstrap",46.6,3.8416005411316
"Gentoo",46.5,3.83945231259331
"Gentoo",46.5,3.83945231259331
"Gentoo",46.5,3.83945231259331
"Gentoo",46.5,3.83945231259331
"Chinstrap",46.5,3.83945231259331
"Gentoo",46.4,3.83729945923221
"Gentoo",46.4,3.83729945923221
"Chinstrap",46.4,3.83729945923221
"Chinstrap",46.4,3.83729945923221
"Gentoo",46.3,3.83514196109219
"Gentoo",46.2,3.83297979808769
"Gentoo",46.2,3.83297979808769
"Gentoo",46.2,3.83297979808769
"Gentoo",46.2,3.83297979808769
"Chinstrap",46.2,3.83297979808769
"Gentoo",46.1,3.8308129500026
"Gentoo",46.1,3.8308129500026
"Chinstrap",46.1,3.8308129500026
"Adelie",46,3.8286413964891
"Chinstrap",46,3.8286413964891
"Chinstrap",45.9,3.8264651170665
"Adelie",45.8,3.82428409112014
"Gentoo",45.8,3.82428409112014
"Gentoo",45.8,3.82428409112014
"Gentoo",45.7,3.82209829790016
"Chinstrap",45.7,3.82209829790016
"Chinstrap",45.7,3.82209829790016
"Adelie",45.6,3.81990771652034
"Chinstrap",45.6,3.81990771652034
"Gentoo",45.5,3.8177123259569
"Gentoo",45.5,3.8177123259569
"Gentoo",45.5,3.8177123259569
"Gentoo",45.5,3.8177123259569
"Chinstrap",45.5,3.8177123259569
"Gentoo",45.4,3.8155121050473
"Chinstrap",45.4,3.8155121050473
"Gentoo",45.3,3.81330703248899
"Gentoo",45.3,3.81330703248899
"Gentoo",45.2,3.81109708683819
"Gentoo",45.2,3.81109708683819
"Gentoo",45.2,3.81109708683819
"Gentoo",45.2,3.81109708683819
"Chinstrap",45.2,3.81109708683819
"Chinstrap",45.2,3.81109708683819
"Gentoo",45.1,3.80888224650863
"Gentoo",45.1,3.80888224650863
"Gentoo",45.1,3.80888224650863
"Gentoo",45,3.80666248977032
"Gentoo",44.9,3.80443779474821
"Gentoo",44.9,3.80443779474821
"Gentoo",44.5,3.7954891891722
"Gentoo",44.5,3.7954891891722
"Gentoo",44.5,3.7954891891722
"Gentoo",44.4,3.79323946943818
"Adelie",44.1,3.7864597824528
"Adelie",44.1,3.7864597824528
"Gentoo",44,3.78418963391826
"Gentoo",43.8,3.7796338173824
"Gentoo",43.6,3.77505715035499
"Gentoo",43.5,3.77276093809464
"Gentoo",43.5,3.77276093809464
"Chinstrap",43.5,3.77276093809464
"Gentoo",43.4,3.77045944110636
"Gentoo",43.3,3.76815263500844
"Gentoo",43.3,3.76815263500844
"Adelie",43.2,3.76584049525006
"Adelie",43.2,3.76584049525006
"Gentoo",43.2,3.76584049525006
"Chinstrap",43.2,3.76584049525006
"Adelie",43.1,3.7635229971097
"Adelie",42.9,3.75887182593397
"Gentoo",42.9,3.75887182593397
"Adelie",42.8,3.75653810258775
"Gentoo",42.8,3.75653810258775
"Adelie",42.7,3.75419892023458
"Gentoo",42.7,3.75419892023458
"Gentoo",42.6,3.75185425327532
"Adelie",42.5,3.74950407593037
"Chinstrap",42.5,3.74950407593037
"Chinstrap",42.5,3.74950407593037
"Chinstrap",42.4,3.74714836223791
"Adelie",42.3,3.74478708605223
"Adelie",42.2,3.74242022104197
"Adelie",42.2,3.74242022104197
"Adelie",42.1,3.74004774068834
"Adelie",42,3.73766961828337
"Adelie",42,3.73766961828337
"Gentoo",42,3.73766961828337
"Adelie",41.8,3.73289633953071
"Gentoo",41.7,3.73050112880476
"Adelie",41.6,3.72810016726722
"Adelie",41.5,3.72569342723665
"Adelie",41.5,3.72569342723665
"Adelie",41.4,3.72328088083127
"Adelie",41.4,3.72328088083127
"Adelie",41.3,3.72086249996699
"Adelie",41.3,3.72086249996699
"Adelie",41.1,3.71600812150219
"Adelie",41.1,3.71600812150219
"Adelie",41.1,3.71600812150219
"Adelie",41.1,3.71600812150219
"Adelie",41.1,3.71600812150219
"Adelie",41.1,3.71600812150219
"Adelie",41.1,3.71600812150219
"Adelie",41,3.71357206670431
"Adelie",40.9,3.71113006304876
"Adelie",40.9,3.71113006304876
"Gentoo",40.9,3.71113006304876
"Chinstrap",40.9,3.71113006304876
"Adelie",40.8,3.70868208141012
"Adelie",40.8,3.70868208141012
"Adelie",40.7,3.70622809244855
"Adelie",40.6,3.70376806660769
"Adelie",40.6,3.70376806660769
"Adelie",40.6,3.70376806660769
"Adelie",40.6,3.70376806660769
"Adelie",40.5,3.70130197411249
"Adelie",40.5,3.70130197411249
"Adelie",40.3,3.69635146895264
"Adelie",40.3,3.69635146895264
"Adelie",40.2,3.69386699562498
"Adelie",40.2,3.69386699562498
"Adelie",40.2,3.69386699562498
"Adelie",40.1,3.69137633431252
"Adelie",39.8,3.68386691229039
"Adelie",39.7,3.68135118769314
"Adelie",39.7,3.68135118769314
"Adelie",39.7,3.68135118769314
"Adelie",39.7,3.68135118769314
"Adelie",39.6,3.67882911826043
"Adelie",39.6,3.67882911826043
"Adelie",39.6,3.67882911826043
"Adelie",39.6,3.67882911826043
"Adelie",39.6,3.67882911826043
"Adelie",39.5,3.67630067190708
"Adelie",39.5,3.67630067190708
"Adelie",39.5,3.67630067190708
"Adelie",39.3,3.67122451887522
